
QSP    Name               Bridge  Comp  SS:WS Scoops  Cargo  Fuel   AV  SR:LB   MCr
------ ------------------ ------  ----  ----- ------  -----  ----  ---  -- --  ----
A-BA22 Avian                +2       2    0:0    0       68    24   11   6:2     70
A-BL11 Miymosa              +1       1    0:0    1       88    22    6   8:0     60
A-BS11 Beowulf              +2       1    0:0    1       82    22   11   6:20    40
A-BS11 Maada                +2       1    0:0    1       60    24   10   8:4     40
A-BS12 Empress Marava       +1       1    0:0    1       64    24   11   7:4     52
A-CA22 Loskay               +1       2    3:1    1       60    36   12  12:0    102
A-CL22 Fat Cat              +2       1    0:0    1       99    36   24   8:0     93
A-CS11 Lishda               +1       1    0:0    1       90    36   12  17:12    63
A-DA11 Grendel              +2       1    0:0    1       88    44   17   0:8    108
A-DS12 Eakhau               +2       2    0:0    1      160    48   11   9:16    92

QSP    Name               Bridge  Comp  SS:WS Scoops  Cargo  Fuel   AV  SR:LB   MCr
------ ------------------ ------  ----  ----- ------  -----  ----  ---  -- --  ----
A-HS23 Flat Trader          +1       3    6:0    1      144   104   56   4:0    312
C-FS22 Tulgan               +0       2    6:0    1        6    72   55   0:0    168
C-HU33 Broadsword           +2       5    3:0    1       80   104   12   0:0    264
C-VB22 Jarl                 +2       2    5:0    0       80   240   80   0:0    460
C-VS42 Vlezhdatl            +2       5    6:0    1       80   280  127   0:0    1060
C-VS44 Council Cruiser      +2       5    6:0    1       40   240   84   0:0    940
E-BU72 Stayow               +2       5    6:0    1        2    34   36   0:0    122
E-CA62 Escort               +2       4    6:0    1       18    39   64   2:0    183
E-DS64 Zhdits               +2       5    6:0    1        0    64   26   0:0    256
E-DU44 Route Protector      +2       4    0:0    1        8    56   90   0:0    168

QSP    Name               Bridge  Comp  SS:WS Scoops  Cargo  Fuel   AV  SR:LB   MCr
------ ------------------ ------  ----  ----- ------  -----  ----  ---  -- --  ----
E-DU55 Gazelle              +2       6    6:0    1        0    60   56   0:0    272
E-EA53 Kilaalum             +2       3    6:6    1        5    65    6   0:0    305
E-FS41 Sesavetl             +2       5    6:0    0       24    72   28   0:0    318
E-HA76 Warlock              +2       6    0:0    1       24   152   99   0:0    1016
E-HU44 Ekawsykua            +1       5    5:2    1       24   112   26   0:0    416
F-BU41 YT Packet            +2       4    5:0    1       50    20   60   0:0    210
F-KS13 Susa                 +1       3    0:0    1      410   130   12  12:10   220
F-TS13 Dakaar               +1       3    1:0    1      918   234   13   0:0    324
F-ZC14 Risek                +2       4    0:0    0      888   288   28  16:16   528
G-AL52 Hoshisame            +0       3    5:0    1        1    13   65   0:0     83

QSP    Name               Bridge  Comp  SS:WS Scoops  Cargo  Fuel   AV  SR:LB   MCr
------ ------------------ ------  ----  ----- ------  -----  ----  ---  -- --  ----
G-DL71 Khosaa               +2       5    6:0    1        0    68   42   0:0    276
G-EB32 Surtr                +2       2    5:0    0       15    65  112   0:0    155
G-FU21 Shivva               +2       4    6:0    0        0    78   26   0:0    318
G-HB53 Avenger              +2       3    6:0    0       56   112   26   0:0    296
G-HS44 Se Koez              +1       5    6:1    1       24   112   26   0:0    320
J-BC11 Zukseg               +2       1    0:3    0       64    22    9   0:0     58
J-BS22 Kteiroa              +2       3    4:5    1       78    22   12   0:4     74
K-BA12 Tarkine Centaur      +2       1    0:2    1        6    22    7   0:0     86
